id_client;sexe;age;enfant_conduite_accompagne;nombre_enfants;revenus;valeur_residence_prin;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;formule;tarif_devis
1000101;F;23;Non;Oui;100k - 150k;0 - 100k;Commercial;Sports Car;0;7.0;Highly Urban/ Urban;25/02/2022 16:13;dev_integral;300 - 400
1000102;F;91;Oui;Oui;50k - 75k;0 - 100k;Private;Minivan;2;1.0;Highly Urban/ Urban;24/05/2022 21:07;dev_express;200 - 300
1000103;F;45;Non;Oui;10k - 25k;0 - 100k;Private;Pickup;0;4.0;z_Highly Rural/ Rural;24/01/2022 08:17;dev_express;200 - 300
1000104;F;2;Non;Non;0 - 10k;100k - 200k;Private;z_SUV;3;5.0;Highly Urban/ Urban;20/04/2022 03:46;dev_integral;300 - 400
1000105;M;67;Non;Non;Non renseigné;200k - 300k;Commercial;Panel Truck;2;12.0;Highly Urban/ Urban;23/03/2022 01:32;dev_vip;600 - 700
1000106;F;31;Non;Oui;75k - 100k;200k - 300k;Private;z_SUV;2;15.0;z_Highly Rural/ Rural;23/03/2022 22:20;dev_premium;400 - 500
1000107;F;82;Oui;Oui;100k - 150k;300k - 400k;Commercial;Minivan;0;9.0;z_Highly Rural/ Rural;13/03/2022 01:10;dev_express;200 - 300
1000108;M;67;Non;Non;50k - 75k;200k - 300k;Private;z_SUV;1;10.0;Highly Urban/ Urban;09/03/2022 03:43;dev_premium;300 - 400
1000109;M;67;Non;Non;100k - 150k;300k - 400k;Private;Minivan;0;14.0;Highly Urban/ Urban;29/01/2022 10:17;dev_premium;300 - 400
1000110;F;49;Non;Non;Non renseigné;200k - 300k;Commercial;Panel Truck;1;10.0;Highly Urban/ Urban;26/03/2022 07:37;dev_integral;300 - 400
1000111;F;56;Oui;Oui;10k - 25k;0 - 100k;Private;Minivan;0;10.0;Highly Urban/ Urban;26/05/2022 05:51;dev_express;200 - 300
1000112;M;6;Non;Oui;10k - 25k;0 - 100k;Private;z_SUV;0;1.0;Highly Urban/ Urban;27/01/2022 09:33;dev_premium;300 - 400
1000113;F;72;Non;Non;50k - 75k;0 - 100k;Private;z_SUV;0;18.0;Highly Urban/ Urban;08/05/2022 13:32;dev_express;200 - 300
1000114;M;6;Non;Non;0 - 10k;0 - 100k;Commercial;Van;5;6.0;z_Highly Rural/ Rural;02/05/2022 08:44;dev_integral;300 - 400
1000115;M;77;Non;Oui;25k - 50k;200k - 300k;Private;Minivan;0;1.0;Highly Urban/ Urban;15/04/2022 13:09;dev_integral;300 - 400
1000116;M;85;Non;Non;25k - 50k;100k - 200k;Private;Minivan;0;13.0;Highly Urban/ Urban;11/05/2022 02:24;dev_express;200 - 300
1000117;F;50;Non;Non;100k - 150k;300k - 400k;Private;z_SUV;0;15.0;Highly Urban/ Urban;12/04/2022 01:20;dev_integral;300 - 400
1000118;F;87;Non;Non;50k - 75k;0 - 100k;Commercial;Van;1;8.0;Highly Urban/ Urban;04/03/2022 09:15;dev_express;200 - 300
1000119;F;68;Non;Non;75k - 100k;200k - 300k;Private;Minivan;0;11.0;Highly Urban/ Urban;05/02/2022 17:39;dev_express;200 - 300
1000120;F;83;Non;Non;25k - 50k;100k - 200k;Private;z_SUV;0;10.0;Highly Urban/ Urban;25/04/2022 14:43;dev_integral;200 - 300
1000121;M;35;Non;Oui;50k - 75k;200k - 300k;Private;Minivan;0;16.0;z_Highly Rural/ Rural;20/03/2022 03:44;dev_express;200 - 300
1000122;M;91;Oui;Oui;25k - 50k;100k - 200k;Private;Minivan;1;;Highly Urban/ Urban;27/03/2022 09:22;dev_premium;300 - 400
1000123;F;23;Non;Non;Non renseigné;100k - 200k;Commercial;Van;0;7.0;Highly Urban/ Urban;16/05/2022 02:39;dev_premium;300 - 400
1000124;F;82;Non;Oui;25k - 50k;200k - 300k;Commercial;Sports Car;5;1.0;Highly Urban/ Urban;06/02/2022 07:52;dev_premium;400 - 500
1000125;M;18;Non;Non;10k - 25k;100k - 200k;Commercial;Pickup;1;1.0;Highly Urban/ Urban;27/04/2022 15:06;dev_express;200 - 300
1000126;M;66;Non;Non;Non renseigné;Non renseigné;Private;Minivan;1;;z_Highly Rural/ Rural;13/04/2022 00:52;dev_express;200 - 300
1000127;F;24;Non;Non;25k - 50k;0 - 100k;Private;Sports Car;0;1.0;z_Highly Rural/ Rural;22/03/2022 13:32;dev_integral;200 - 300
1000128;F;44;Non;Non;75k - 100k;200k - 300k;Private;z_SUV;5;;Highly Urban/ Urban;22/04/2022 03:39;dev_integral;200 - 300
1000129;F;54;Non;Non;50k - 75k;100k - 200k;Private;z_SUV;0;1.0;Highly Urban/ Urban;23/03/2022 22:44;dev_vip;800 - 900
1000130;F;16;Non;Non;100k - 150k;300k - 400k;Private;z_SUV;0;17.0;Highly Urban/ Urban;12/02/2022 20:23;dev_premium;300 - 400
1000131;F;49;Non;Oui;25k - 50k;100k - 200k;Private;z_SUV;0;1.0;Highly Urban/ Urban;14/01/2022 07:11;dev_express;200 - 300
1000132;M;39;Non;Oui;25k - 50k;0 - 100k;Commercial;Minivan;6;5.0;z_Highly Rural/ Rural;09/04/2022 11:49;dev_integral;300 - 400
1000133;F;66;Non;Non;100k - 150k;0 - 100k;Private;z_SUV;3;9.0;Highly Urban/ Urban;23/03/2022 06:12;dev_express;200 - 300
1000134;M;5;Non;Non;25k - 50k;100k - 200k;Private;z_SUV;2;6.0;z_Highly Rural/ Rural;04/02/2022 17:14;dev_premium;400 - 500
1000135;M;45;Oui;Oui;50k - 75k;200k - 300k;Private;Sports Car;0;12.0;Highly Urban/ Urban;05/02/2022 18:50;dev_express;200 - 300
1000136;F;69;Non;Non;10k - 25k;100k - 200k;Private;z_SUV;0;9.0;Highly Urban/ Urban;08/02/2022 09:59;dev_integral;300 - 400
1000137;F;62;Non;Non;25k - 50k;100k - 200k;Commercial;Sports Car;0;15.0;Highly Urban/ Urban;06/02/2022 22:30;dev_express;200 - 300
1000138;F;7;Non;Oui;75k - 100k;300k - 400k;Private;z_SUV;2;14.0;Highly Urban/ Urban;09/02/2022 14:28;dev_integral;200 - 300
1000139;F;56;Non;Non;150k - 200k;0 - 100k;Private;Minivan;0;15.0;Highly Urban/ Urban;26/05/2022 21:39;dev_integral;200 - 300
1000140;M;35;Non;Non;50k - 75k;100k - 200k;Private;z_SUV;1;11.0;z_Highly Rural/ Rural;04/03/2022 15:36;dev_premium;400 - 500
1000141;F;19;Oui;Oui;Non renseigné;0 - 100k;Private;Sports Car;0;10.0;Highly Urban/ Urban;31/05/2022 13:11;dev_express;200 - 300
1000142;F;86;Non;Oui;0 - 10k;0 - 100k;Private;z_SUV;5;8.0;Highly Urban/ Urban;30/04/2022 23:20;dev_express;200 - 300
1000143;M;59;Non;Oui;0 - 10k;0 - 100k;Commercial;Pickup;0;10.0;Highly Urban/ Urban;20/03/2022 04:00;dev_express;200 - 300
1000144;F;58;Oui;Oui;50k - 75k;100k - 200k;Private;Pickup;0;;Highly Urban/ Urban;02/04/2022 11:25;dev_premium;400 - 500
1000145;M;52;Non;Non;75k - 100k;0 - 100k;Private;z_SUV;0;13.0;Highly Urban/ Urban;02/01/2022 20:05;dev_integral;300 - 400
1000146;F;66;Non;Non;75k - 100k;200k - 300k;Private;z_SUV;4;15.0;Highly Urban/ Urban;24/02/2022 21:52;dev_express;200 - 300
1000147;M;77;Non;Oui;0 - 10k;0 - 100k;Private;z_SUV;1;1.0;Highly Urban/ Urban;05/04/2022 02:47;dev_express;200 - 300
1000148;F;42;Non;Non;100k - 150k;300k - 400k;Commercial;Panel Truck;1;13.0;Highly Urban/ Urban;21/02/2022 11:50;dev_integral;300 - 400
1000149;M;77;Non;Non;75k - 100k;0 - 100k;Commercial;Van;0;7.0;Highly Urban/ Urban;21/03/2022 00:37;dev_integral;200 - 300
1000150;F;39;Oui;Oui;50k - 75k;100k - 200k;Private;Van;1;1.0;z_Highly Rural/ Rural;03/04/2022 12:30;dev_integral;200 - 300
1000151;F;25;Non;Non;25k - 50k;100k - 200k;Commercial;Pickup;7;1.0;Highly Urban/ Urban;28/03/2022 23:57;dev_integral;300 - 400
1000152;F;49;Non;Oui;25k - 50k;100k - 200k;Private;Minivan;1;5.0;Highly Urban/ Urban;21/03/2022 07:59;dev_express;200 - 300
1000153;M;19;Non;Non;100k - 150k;200k - 300k;Private;Minivan;0;7.0;Highly Urban/ Urban;23/05/2022 09:33;dev_express;200 - 300
1000154;F;48;Non;Non;50k - 75k;0 - 100k;Private;Sports Car;0;19.0;Highly Urban/ Urban;03/05/2022 20:20;dev_express;200 - 300
1000155;F;6;Non;Non;75k - 100k;200k - 300k;Commercial;Minivan;5;8.0;z_Highly Rural/ Rural;11/04/2022 14:51;dev_express;200 - 300
1000156;M;49;Non;Non;75k - 100k;300k - 400k;Private;Van;0;13.0;Highly Urban/ Urban;05/01/2022 09:29;dev_premium;300 - 400
1000157;F;56;Non;Oui;25k - 50k;100k - 200k;Commercial;Van;4;9.0;Highly Urban/ Urban;14/05/2022 13:46;dev_integral;200 - 300
1000158;M;33;Non;Non;50k - 75k;200k - 300k;Private;z_SUV;2;12.0;Highly Urban/ Urban;20/04/2022 10:04;dev_express;200 - 300
1000159;F;73;Oui;Oui;25k - 50k;Non renseigné;Private;Van;0;1.0;Highly Urban/ Urban;22/01/2022 11:01;dev_express;200 - 300
1000160;F;31;Oui;Oui;25k - 50k;0 - 100k;Private;Sports Car;1;7.0;Highly Urban/ Urban;26/04/2022 16:17;dev_express;200 - 300
1000161;F;72;Non;Non;75k - 100k;200k - 300k;Private;Minivan;0;16.0;Highly Urban/ Urban;23/03/2022 15:45;dev_integral;200 - 300
1000162;F;54;Non;Non;25k - 50k;100k - 200k;Private;Pickup;0;8.0;Highly Urban/ Urban;27/04/2022 03:37;dev_express;200 - 300
1000163;F;71;Non;Oui;50k - 75k;200k - 300k;Commercial;Van;0;5.0;Highly Urban/ Urban;24/05/2022 02:44;dev_integral;200 - 300
1000164;F;80;Non;Oui;25k - 50k;0 - 100k;Private;Sports Car;0;1.0;Highly Urban/ Urban;09/05/2022 23:43;dev_express;200 - 300
1000165;F;4;Non;Non;10k - 25k;100k - 200k;Private;z_SUV;0;6.0;Highly Urban/ Urban;22/04/2022 08:38;dev_integral;200 - 300
1000166;M;51;Non;Non;50k - 75k;200k - 300k;Private;z_SUV;5;1.0;Highly Urban/ Urban;17/05/2022 07:36;dev_express;200 - 300
1000167;M;69;Non;Non;75k - 100k;200k - 300k;Private;Pickup;0;7.0;Highly Urban/ Urban;01/05/2022 22:37;dev_express;200 - 300
1000168;M;51;Non;Non;0 - 10k;0 - 100k;Private;Minivan;3;5.0;z_Highly Rural/ Rural;29/05/2022 10:50;dev_express;200 - 300
1000169;M;72;Non;Oui;10k - 25k;0 - 100k;Private;z_SUV;2;13.0;Highly Urban/ Urban;04/04/2022 09:48;dev_express;200 - 300
1000170;F;24;Non;Non;75k - 100k;0 - 100k;Commercial;Pickup;1;3.0;Highly Urban/ Urban;27/01/2022 21:31;dev_integral;300 - 400
1000171;F;3;Non;Non;75k - 100k;0 - 100k;Private;z_SUV;0;9.0;Highly Urban/ Urban;13/01/2022 03:29;dev_integral;300 - 400
1000172;M;34;Non;Non;150k - 200k;400k - 500k;Private;z_SUV;2;12.0;Highly Urban/ Urban;08/01/2022 11:18;dev_express;200 - 300
1000173;M;9;Non;Non;75k - 100k;200k - 300k;Private;Minivan;2;9.0;Highly Urban/ Urban;05/04/2022 09:02;dev_integral;200 - 300
1000174;F;80;Non;Oui;75k - 100k;Non renseigné;Private;Minivan;2;9.0;z_Highly Rural/ Rural;14/02/2022 02:00;dev_premium;400 - 500
1000175;M;79;Non;Non;25k - 50k;100k - 200k;Private;Pickup;0;8.0;Highly Urban/ Urban;14/01/2022 13:12;dev_express;200 - 300
1000176;F;29;Non;Non;100k - 150k;0 - 100k;Private;z_SUV;1;18.0;Highly Urban/ Urban;20/04/2022 02:38;dev_integral;300 - 400
1000177;F;72;Non;Non;50k - 75k;200k - 300k;Commercial;Minivan;5;1.0;Highly Urban/ Urban;10/05/2022 13:40;dev_express;200 - 300
1000178;M;52;Non;Non;25k - 50k;0 - 100k;Commercial;Panel Truck;4;11.0;Highly Urban/ Urban;24/01/2022 17:35;dev_premium;300 - 400
1000179;F;52;Non;Non;25k - 50k;100k - 200k;Private;Minivan;4;6.0;Highly Urban/ Urban;01/02/2022 04:48;dev_express;200 - 300
1000180;M;61;Non;Non;100k - 150k;0 - 100k;Private;Minivan;1;1.0;Highly Urban/ Urban;20/04/2022 07:29;dev_premium;300 - 400
1000181;M;83;Non;Non;0 - 10k;0 - 100k;Private;Sports Car;0;3.0;z_Highly Rural/ Rural;02/01/2022 10:07;dev_express;200 - 300
1000182;M;63;Non;Non;100k - 150k;0 - 100k;Commercial;Van;0;8.0;z_Highly Rural/ Rural;18/02/2022 08:51;dev_express;200 - 300
1000183;F;64;Non;Oui;25k - 50k;Non renseigné;Commercial;z_SUV;0;4.0;Highly Urban/ Urban;27/04/2022 19:14;dev_express;200 - 300
1000184;M;63;Non;Non;10k - 25k;0 - 100k;Private;Sports Car;1;;z_Highly Rural/ Rural;09/05/2022 03:37;dev_express;200 - 300
1000185;M;61;Non;Non;50k - 75k;Non renseigné;Commercial;Pickup;2;8.0;Highly Urban/ Urban;14/01/2022 21:13;dev_express;200 - 300
1000186;M;41;Non;Non;25k - 50k;100k - 200k;Private;Minivan;0;9.0;Highly Urban/ Urban;30/03/2022 13:20;dev_express;200 - 300
1000187;M;53;Non;Non;Non renseigné;0 - 100k;Private;Minivan;0;17.0;Highly Urban/ Urban;25/01/2022 00:58;dev_premium;400 - 500
1000188;F;22;Oui;Oui;10k - 25k;0 - 100k;Private;z_SUV;0;1.0;z_Highly Rural/ Rural;28/05/2022 07:13;dev_express;200 - 300
1000189;M;49;Non;Non;25k - 50k;200k - 300k;Private;Minivan;0;13.0;Highly Urban/ Urban;12/02/2022 08:10;dev_premium;500 - 600
1000190;M;57;Non;Oui;25k - 50k;100k - 200k;Private;Sports Car;0;2.0;z_Highly Rural/ Rural;11/01/2022 16:57;dev_integral;200 - 300
1000191;M;80;Non;Non;50k - 75k;100k - 200k;Commercial;Minivan;3;1.0;Highly Urban/ Urban;15/04/2022 05:20;dev_express;200 - 300
